"employee_id","department_name","gender","job_title"
9603,ASSEMBLY,male,
9604,ASSEMBLY,male,
9605,ASSEMBLY,male,
9606,ASSEMBLY,male,
3215,STORE,male,
9607,ASSEMBLY,male,
9608,ASSEMBLY,male,
9609,ASSEMBLY,male,
9610,ASSEMBLY,male,
9611,DISPATCH,male,
9612,DISPATCH,male,
9613,ASSEMBLY,male,
9614,STORE,male,
9615,ASSEMBLY,male,
9616,ASSEMBLY,male,
29553,,,
3198,STORE,male,
3289,ASSEMBLY,male,
3199,STORE,male,
3200,DISPATCH,male,
3201,ASSEMBLY,female,
3202,STORE,male,
3203,STORE,male,
3204,DISPATCH,male,
3205,DISPATCH,male,
3206,ASSEMBLY,male,
3207,DISPATCH,male,
3208,ASSEMBLY,male,
3209,ASSEMBLY,male,
3210,ASSEMBLY,male,
3211,SURFACE TREATMENT,male,
3212,SURFACE TREATMENT,male,
3213,,male,
3214,ASSEMBLY,male,
3216,ASSEMBLY,female,
3217,ASSEMBLY,male,
3218,STORE,male,
3220,ASSEMBLY,male,
3221,ASSEMBLY,male,
3223,,male,
3222,SURFACE TREATMENT,male,
3224,DISPATCH,male,
3225,ASSEMBLY,male,
3226,ASSEMBLY,male,
3227,DISPATCH,male,
3228,DISPATCH,male,
3229,DISPATCH,male,
3230,DISPATCH,male,
3231,,male,
3232,STORE,male,
3233,ASSEMBLY,male,
3234,ASSEMBLY,male,
3235,ASSEMBLY,male,
3236,ASSEMBLY,male,
3237,ASSEMBLY,male,
3238,ASSEMBLY,male,
3239,ASSEMBLY,male,
3240,ASSEMBLY,male,
3241,ASSEMBLY,male,
3242,STORE,male,
3243,ASSEMBLY,female,
3244,SURFACE TREATMENT,male,
3245,SURFACE TREATMENT,male,
3246,SURFACE TREATMENT,male,
3248,ASSEMBLY,male,
3247,DISPATCH,male,
3249,DISPATCH,male,
3250,ASSEMBLY,male,
3251,ASSEMBLY,male,
3252,DISPATCH,male,
3253,ASSEMBLY,male,
3254,DISPATCH,male,
3255,ASSEMBLY,male,
3256,ASSEMBLY,male,
3257,ASSEMBLY,male,
3258,SURFACE TREATMENT,male,
3259,ASSEMBLY,male,
3260,ASSEMBLY,male,
3261,SURFACE TREATMENT,male,
3262,ASSEMBLY,male,
3263,DISPATCH,male,
3264,ASSEMBLY,male,
3265,ASSEMBLY,male,
3266,ASSEMBLY,male,
3267,DISPATCH,male,
3268,DISPATCH,male,
3269,ASSEMBLY,male,
3270,SURFACE TREATMENT,male,
3273,ASSEMBLY,male,
3272,ASSEMBLY,male,
3274,ASSEMBLY,male,
3276,ASSEMBLY,male,
3277,ASSEMBLY,male,
3278,ASSEMBLY,male,
3279,DISPATCH,male,
3280,STORE,male,
3281,ASSEMBLY,male,
3282,ASSEMBLY,male,
3283,ASSEMBLY,male,
3284,ASSEMBLY,male,
3286,DISPATCH,male,
3287,DISPATCH,male,
3288,ASSEMBLY,male,
1790,,male,
47353,,,
47354,,,
47355,,,
47356,,,
47357,,,
47352,,,
47358,,,
47092,,,
47093,,,
47094,,,
47095,,,
1853,HOUSEKEEPING,male,
1779,HOUSEKEEPING,female,
1780,HOUSEKEEPING,male,
1781,HOUSEKEEPING,male,
1782,HOUSEKEEPING,male,
1783,,male,
1784,,male,
1785,,male,
3285,ASSEMBLY,male,
1786,HOUSEKEEPING,male,
1788,HOUSEKEEPING,female,
1787,HOUSEKEEPING,male,
1789,HOUSEKEEPING,male,
1792,HOUSEKEEPING,female,
1793,HOUSEKEEPING,male,
1794,HOUSEKEEPING,male,
1795,HOUSEKEEPING,male,
1797,HOUSEKEEPING,female,
1798,HOUSEKEEPING,male,
1799,HOUSEKEEPING,male,
1800,HOUSEKEEPING,male,
1802,HOUSEKEEPING,male,
1803,HOUSEKEEPING,male,
1804,HOUSEKEEPING,male,
1805,HOUSEKEEPING,male,
1806,HOUSEKEEPING,male,
1807,H.K,female,
1808,H.K,female,
1809,HOUSEKEEPING,male,
1810,SURFACE TREATMENT,male,
1811,HOUSEKEEPING,male,
1812,HOUSEKEEPING,male,
1813,HOUSEKEEPING,female,
1814,HOUSEKEEPING,male,
1815,HOUSEKEEPING,male,
1817,HOUSEKEEPING,male,
1796,HOUSEKEEPING,male,
1818,SURFACE TREATMENT,male,
1819,HOUSEKEEPING,male,
1820,HOUSEKEEPING,male,
1821,HOUSEKEEPING,male,
1823,HOUSEKEEPING,male,
1824,HOUSEKEEPING,male,
1825,HOUSEKEEPING,male,
1826,HOUSEKEEPING,male,
1828,HOUSEKEEPING,male,
1829,HOUSEKEEPING,male,
1830,HOUSEKEEPING,male,
1831,HOUSEKEEPING,male,
1832,HOUSEKEEPING,male,
1833,HOUSEKEEPING,male,
1834,HOUSEKEEPING,male,
1835,HOUSEKEEPING,male,
1837,HELPER,male,
1838,HELPER,male,
1839,HELPER,male,
1840,ASSEMBLY,male,
1841,ASSEMBLY,male,
1842,ASSEMBLY,male,
1843,ASSEMBLY,male,
1844,ASSEMBLY,male,
1845,ASSEMBLY,female,
1846,ASSEMBLY,male,
1847,HOUSEKEEPING,female,
1848,HOUSEKEEPING,male,
1850,HOUSEKEEPING,male,
1852,HOUSEKEEPING,male,
47096,,,
47098,,,
47099,,,
47101,,,
47102,,,
47103,,,
47104,,,
47105,,,
47106,,,
47108,,,
47110,,,
47111,,,
47113,,,
47114,,,
47115,,,
47116,,,
47117,,,
47118,,,
47097,,,
47100,,,
1851,OHC,male,
47119,,,
47120,,,
47121,,,
47123,,,
47125,,,
47126,,,
47127,,,
47128,,,
47129,,,
3493,ASSEMBLY,female,
3494,SURFACE TREATMENT,male,
3495,SURFACE TREATMENT,male,
3496,MOULDING,female,
3497,ASSEMBLY,female,
3498,MOULDING,male,
3499,SURFACE TREATMENT,male,
3500,MOULDING,male,
3501,ASSEMBLY,female,
3502,ASSEMBLY,female,
3504,ASSEMBLY,male,
3503,ASSEMBLY,female,
3522,ASSEMBLY,male,
3523,ASSEMBLY,male,
3524,MOULDING,male,
3527,ASSEMBLY,male,
47124,,,
3528,MOULDING,male,
3529,MOULDING,male,
3530,QUALITY,male,
3531,SURFACE TREATMENT,male,
3532,ASSEMBLY,female,
3533,MAINTENANCE,male,
3534,ASSEMBLY,male,
3535,SURFACE TREATMENT,female,
3536,ASSEMBLY,male,
3537,SURFACE TREATMENT,female,
3538,ASSEMBLY,female,
47130,,,
47131,,,
47132,,,
47133,,,
47134,,,
47135,,,
47138,,,
47139,,,
47140,,,
47141,,,
47143,,,
47144,,,
47145,,,
47146,,,
47136,,,
47147,,,
47148,,,
47149,,,
47150,,,
47151,,,
47152,,,
47153,,,
47154,,,
47155,,,
47157,,,
47158,,,
47159,,,
47160,,,
47162,,,
47164,,,
47165,,,
47166,,,
47167,,,
47168,,,
47169,,,
47170,,,
47172,,,
47163,,,
47156,,,
47175,,,
2947,,male,
704,ASSEMBLY,male,
2839,,male,
47173,,,
2840,,male,
2841,,female,
2842,,male,
2843,,male,
2844,,male,
2845,,male,
2846,,male,
2847,,male,
2848,,male,
2849,,male,
2850,,male,
2851,,male,
2852,,male,
2853,,female,
2854,,male,
2828,,male,
2837,,male,
2855,,male,
2856,,male,
2857,,male,
2858,,male,
2859,,male,
2860,,male,
2861,,male,
2862,,male,
2863,,male,
2864,,male,
2865,,male,
2866,,male,
2867,,female,
2868,,male,
2869,,male,
2870,,male,
2871,,male,
2872,,female,
2873,,female,
2874,,male,
2875,,male,
2876,,male,
2877,,male,
2878,,female,
2879,,male,
2880,,male,
2881,,female,
2882,,female,
2883,,male,
2884,,male,
2885,,male,
2886,,male,
2887,,male,
2888,,male,
2889,,male,
2890,,female,
2891,,female,
2892,,male,
2893,,male,
2894,,male,
2895,,female,
2896,,female,
2897,,male,
2898,,male,
2899,,male,
2900,,male,
2901,,female,
2902,,male,
2903,,female,
2904,,male,
2905,,male,
2906,,male,
2907,,male,
2908,,male,
2909,,male,
2910,,male,
2911,,female,
2912,,male,
2913,,female,
2914,,male,
2915,,male,
2916,,male,
2917,,male,
2918,,male,
2919,,male,
2920,,male,
2921,,male,
2922,,female,
2923,,male,
2924,,male,
2925,,male,
2926,,male,
2927,,male,
2928,,female,
2929,,male,
2366,ASSEMBLY,female,
2317,MOULDING,male,
2319,ASSEMBLY,male,
2320,MOULDING,male,
2930,,male,
2932,,female,
2321,MOULDING,male,
2196,MOULDING,female,
2197,MOULDING,male,
2198,MOULDING,female,
2199,MOULDING,female,
2200,MOULD CHENGER,male,
2201,MOULDING,male,
2202,MOULDING,male,
2203,MOULDING,male,
2204,MOULDING,male,
2205,MOULDING,male,
2206,MOULDING,male,
47176,,,
2208,MOULDING,female,
2209,MOULDING,male,
2210,MOULD CHENGER,male,
2211,MOULDING,female,
2212,MOULDING,male,
2213,MOULD CHENGER,male,
2214,MOULD CHENGER,male,
2215,ASSEMBLY,female,
2216,MOULDING,male,
2217,MOULDING,male,
2218,MOULDING,male,
2219,MOULDING,male,
2221,MOULDING,male,
2222,MOULDING,male,
2223,MOULDING,male,
2224,MOULDING,male,
2225,MOULD CHENGER,male,
2226,MOULD CHENGER,male,
2228,MOULDING,male,
2230,MOULDING,male,
2233,MOULDING,male,
2234,,female,
2235,MOULDING,male,
2236,MOULDING,male,
2237,SURFACE TREATMENT,female,
2239,ASSEMBLY,female,
2240,ASSEMBLY,female,
2241,ASSEMBLY,male,
2242,MOULDING,male,
2220,DISPATCH,male,
2243,MOULDING,female,
2244,MOULDING,male,
2245,MOULDING,male,
2246,QUALITY,male,
2247,QUALITY,male,
2248,MOULDING,male,
2249,MOULDING,male,
2250,MOULDING,male,
2251,MOULDING,female,
2252,MOULDING,male,
2253,SURFACE TREATMENT,male,
2254,QUALITY,male,
2255,SURFACE TREATMENT,male,
2256,ASSEMBLY,male,
2257,ASSEMBLY,male,
2258,ASSEMBLY,female,
2259,ASSEMBLY,male,
2260,QUALITY,female,
2261,ASSEMBLY,male,
2262,SURFACE TREATMENT,male,
2263,ASSEMBLY,female,
2264,ASSEMBLY,male,
2265,SURFACE TREATMENT,male,
2266,MOULDING,female,
2267,MOULDING,male,
2268,MOULDING,male,
2269,ASSEMBLY,male,
2270,SURFACE TREATMENT,male,
2271,SURFACE TREATMENT,male,
2272,MOULDING,male,
2273,MOULDING,male,
2276,MOULDING,male,
2277,MOULDING,male,
2278,SURFACE TREATMENT,male,
2279,SURFACE TREATMENT,male,
2280,MOULDING,male,
2281,MOULDING,male,
2275,ADMINISTRATION,female,
2283,SURFACE TREATMENT,male,
2284,MOULDING,male,
2286,MOULDING,male,
2287,QUALITY,male,
2288,QUALITY,male,
2289,QUALITY,male,
2290,QUALITY,male,
2291,QUALITY,male,
2292,QUALITY,male,
2294,MOULDING,male,
2296,MOULDING,male,
2297,MOULDING,male,
2298,MOULDING,male,
2299,MOULDING,male,
2300,MOULDING,male,
2301,MOULDING,female,
2302,ASSEMBLY,male,
2303,SURFACE TREATMENT,male,
2304,MOULDING,male,
2305,ASSEMBLY,male,
2285,MOULDING,male,
2307,ASSEMBLY,male,
2308,ASSEMBLY,male,
2310,MOULDING,male,
2311,MOULDING,male,
2312,MOULDING,male,
2313,MOULDING,male,
2314,MOULDING,male,
2309,MOULDING,male,
2315,MOULDING,male,
2316,MOULDING,male,
2322,SURFACE TREATMENT,male,
2323,MOULDING,male,
2325,MOULDING,male,
2327,MOULDING,male,
2328,MOULDING,male,
2329,ASSEMBLY,female,
2330,ASSEMBLY,female,
2331,MOULDING,male,
2332,MOULDING,male,
2333,ASSEMBLY,male,
2334,QUALITY,male,
2336,SURFACE TREATMENT,female,
2337,SURFACE TREATMENT,male,
2338,SURFACE TREATMENT,male,
2340,SURFACE TREATMENT,male,
2341,ASSEMBLY,male,
2342,ASSEMBLY,female,
2343,ASSEMBLY,female,
2339,SURFACE TREATMENT,male,
2335,SURFACE TREATMENT,male,
